$FoxTransitionModel
$FoxTransitionModel[[1]]
   V1         V2    V3    V4        V5        V6
1  F1 do_nothing HighF HighF 0.8750000 0.1250000
2  F1 do_nothing HighF  LowF 0.5750000 0.4250000
3  F1 do_nothing  LowF HighF 0.8666667 0.1333333
4  F1 do_nothing  LowF  LowF 0.5666667 0.4333333
5  F1         a1 HighF HighF 0.8750000 0.1250000
6  F1         a1 HighF  LowF 0.5750000 0.4250000
7  F1         a1  LowF HighF 0.8666667 0.1333333
8  F1         a1  LowF  LowF 0.5666667 0.4333333
9  F1         a2 HighF HighF 0.8750000 0.1250000
10 F1         a2 HighF  LowF 0.5750000 0.4250000
11 F1         a2  LowF HighF 0.8666667 0.1333333
12 F1         a2  LowF  LowF 0.5666667 0.4333333
13 F1         a3 HighF HighF 0.8750000 0.1250000
14 F1         a3 HighF  LowF 0.5750000 0.4250000
15 F1         a3  LowF HighF 0.8666667 0.1333333
16 F1         a3  LowF  LowF 0.5666667 0.4333333
17 F1         a4 HighF HighF 0.8750000 0.1250000
18 F1         a4 HighF  LowF 0.5750000 0.4250000
19 F1         a4  LowF HighF 0.8666667 0.1333333
20 F1         a4  LowF  LowF 0.5666667 0.4333333
21 F1         a5 HighF HighF 0.8750000 0.1250000
22 F1         a5 HighF  LowF 0.5750000 0.4250000
23 F1         a5  LowF HighF 0.8666667 0.1333333
24 F1         a5  LowF  LowF 0.5666667 0.4333333

$FoxTransitionModel[[2]]
   V1         V2    V3    V4        V5        V6
1  F2 do_nothing HighF HighF 0.8750000 0.1250000
2  F2 do_nothing HighF  LowF 0.5750000 0.4250000
3  F2 do_nothing  LowF HighF 0.8666667 0.1333333
4  F2 do_nothing  LowF  LowF 0.5666667 0.4333333
5  F2         a1 HighF HighF 0.5629121 0.4370879
6  F2         a1 HighF  LowF 0.4750000 0.5250000
7  F2         a1  LowF HighF 0.5318182 0.4681818
8  F2         a1  LowF  LowF 0.4333333 0.5666667
9  F2         a2 HighF HighF 0.4913919 0.5086081
10 F2         a2 HighF  LowF 0.3833333 0.6166667
11 F2         a2  LowF HighF 0.4545455 0.5454545
12 F2         a2  LowF  LowF 0.3333333 0.6666667
13 F2         a3 HighF HighF 0.8750000 0.1250000
14 F2         a3 HighF  LowF 0.5750000 0.4250000
15 F2         a3  LowF HighF 0.8666667 0.1333333
16 F2         a3  LowF  LowF 0.5666667 0.4333333
17 F2         a4 HighF HighF 0.3548535 0.6451465
18 F2         a4 HighF  LowF 0.2083333 0.7916667
19 F2         a4  LowF HighF 0.3386364 0.6613636
20 F2         a4  LowF  LowF 0.1833333 0.8166667
21 F2         a5 HighF HighF 0.2833333 0.7166667
22 F2         a5 HighF  LowF 0.1166667 0.8833333
23 F2         a5  LowF HighF 0.3000000 0.7000000
24 F2         a5  LowF  LowF 0.1333333 0.8666667

$FoxTransitionModel[[3]]
   V1         V2    V3    V4        V5        V6
1  F3 do_nothing HighF HighF 0.8750000 0.1250000
2  F3 do_nothing HighF  LowF 0.5750000 0.4250000
3  F3 do_nothing  LowF HighF 0.8666667 0.1333333
